model,model_class,training,suite,split,topic,image_mode,n,accuracy,trust_flag
SkySenseGPT-7B,zeroshot_external,none (zero-shot RS-VLM),benchmark_suite,benchmark,transit_density,sat_only,421,0.261,
SkySenseGPT-7B,zeroshot_external,none (zero-shot RS-VLM),benchmark_suite,benchmark,OVERALL_9urban,sat_only,3135,0.334,
SkySenseGPT-7B,zeroshot_external,none (zero-shot RS-VLM),benchmark_suite,benchmark,OVERALL_8urban_noleak,sat_only,2932,0.3195,
LHRS-Bot-Nova,zeroshot_external,none (zero-shot RS-VLM),benchmark_suite,benchmark,land_use,sat_only,421,0.463,OSM_provenance_overlap(upper_bound)
LHRS-Bot-Nova,zeroshot_external,none (zero-shot RS-VLM),benchmark_suite,benchmark,building_height,sat_only,190,0.289,OSM_provenance_overlap(upper_bound)
LHRS-Bot-Nova,zeroshot_external,none (zero-shot RS-VLM),benchmark_suite,benchmark,urban_density,sat_only,421,0.178,blind_heavy|OSM_provenance_overlap(upper_bound)
LHRS-Bot-Nova,zeroshot_external,none (zero-shot RS-VLM),benchmark_suite,benchmark,road_type,sat_only,421,0.261,OSM_provenance_overlap(upper_bound)
LHRS-Bot-Nova,zeroshot_external,none (zero-shot RS-VLM),benchmark_suite,benchmark,road_surface,sat_only,303,0.587,blind_heavy|OSM_provenance_overlap(upper_bound)
LHRS-Bot-Nova,zeroshot_external,none (zero-shot RS-VLM),benchmark_suite,benchmark,junction_type,sat_only,334,0.353,OSM_provenance_overlap(upper_bound)
LHRS-Bot-Nova,zeroshot_external,none (zero-shot RS-VLM),benchmark_suite,benchmark,green_space,sat_only,203,0.399,LABEL_LEAK|OSM_provenance_overlap(upper_bound)
LHRS-Bot-Nova,zeroshot_external,none (zero-shot RS-VLM),benchmark_suite,benchmark,amenity_richness,sat_only,421,0.178,OSM_provenance_overlap(upper_bound)
LHRS-Bot-Nova,zeroshot_external,none (zero-shot RS-VLM),benchmark_suite,benchmark,transit_density,sat_only,421,0.342,OSM_provenance_overlap(upper_bound)
LHRS-Bot-Nova,zeroshot_external,none (zero-shot RS-VLM),benchmark_suite,benchmark,OVERALL_9urban,sat_only,3135,0.329,OSM_provenance_overlap(upper_bound)
LHRS-Bot-Nova,zeroshot_external,none (zero-shot RS-VLM),benchmark_suite,benchmark,OVERALL_8urban_noleak,sat_only,2932,0.3238,OSM_provenance_overlap(upper_bound)
EarthDial-4B-RGB,zeroshot_external,none (zero-shot RS-VLM),benchmark_suite,benchmark,land_use,sat_only,421,0.475,OSM_provenance_overlap(upper_bound)
EarthDial-4B-RGB,zeroshot_external,none (zero-shot RS-VLM),benchmark_suite,benchmark,building_height,sat_only,190,0.326,OSM_provenance_overlap(upper_bound)
EarthDial-4B-RGB,zeroshot_external,none (zero-shot RS-VLM),benchmark_suite,benchmark,urban_density,sat_only,421,0.304,blind_heavy|OSM_provenance_overlap(upper_bound)
EarthDial-4B-RGB,zeroshot_external,none (zero-shot RS-VLM),benchmark_suite,benchmark,road_type,sat_only,421,0.461,OSM_provenance_overlap(upper_bound)
EarthDial-4B-RGB,zeroshot_external,none (zero-shot RS-VLM),benchmark_suite,benchmark,road_surface,sat_only,303,0.584,blind_heavy|OSM_provenance_overlap(upper_bound)
EarthDial-4B-RGB,zeroshot_external,none (zero-shot RS-VLM),benchmark_suite,benchmark,junction_type,sat_only,334,0.527,OSM_provenance_overlap(upper_bound)
EarthDial-4B-RGB,zeroshot_external,none (zero-shot RS-VLM),benchmark_suite,benchmark,green_space,sat_only,203,0.626,LABEL_LEAK|OSM_provenance_overlap(upper_bound)
EarthDial-4B-RGB,zeroshot_external,none (zero-shot RS-VLM),benchmark_suite,benchmark,amenity_richness,sat_only,421,0.254,OSM_provenance_overlap(upper_bound)
EarthDial-4B-RGB,zeroshot_external,none (zero-shot RS-VLM),benchmark_suite,benchmark,transit_density,sat_only,421,0.297,OSM_provenance_overlap(upper_bound)
EarthDial-4B-RGB,zeroshot_external,none (zero-shot RS-VLM),benchmark_suite,benchmark,OVERALL_9urban,sat_only,3135,0.413,OSM_provenance_overlap(upper_bound)
EarthDial-4B-RGB,zeroshot_external,none (zero-shot RS-VLM),benchmark_suite,benchmark,OVERALL_8urban_noleak,sat_only,2932,0.3987,OSM_provenance_overlap(upper_bound)
