run,arm,k,topic,n_solved_greedy,n_survived,survival_pct,headline_flag
k123_multiseed,random:101,1,urban_density,183,148,0.8087,headline_unsafe(leaky)
k123_multiseed,random:202,1,amenity_richness,158,114,0.7215,headline_safe
k123_multiseed,random:202,1,building_height,134,102,0.7612,headline_unsafe(leaky)
k123_multiseed,random:202,1,junction_type,228,208,0.9123,headline_unsafe(leaky)
k123_multiseed,random:202,1,land_use,233,193,0.8283,headline_unsafe(leaky)
k123_multiseed,random:202,1,road_surface,277,251,0.9061,headline_unsafe(leaky)
k123_multiseed,random:202,1,road_type,320,273,0.8531,headline_unsafe(leaky)
k123_multiseed,random:202,1,transit_density,130,111,0.8538,headline_safe
k123_multiseed,random:202,1,urban_density,183,151,0.8251,headline_unsafe(leaky)
k123_multiseed,random:3407,1,amenity_richness,158,123,0.7785,headline_safe
k123_multiseed,random:3407,1,building_height,134,107,0.7985,headline_unsafe(leaky)
k123_multiseed,random:3407,1,junction_type,228,209,0.9167,headline_unsafe(leaky)
k123_multiseed,random:3407,1,land_use,233,188,0.8069,headline_unsafe(leaky)
k123_multiseed,random:3407,1,road_surface,277,261,0.9422,headline_unsafe(leaky)
k123_multiseed,random:3407,1,road_type,320,276,0.8625,headline_unsafe(leaky)
k123_multiseed,random:3407,1,transit_density,130,116,0.8923,headline_safe
k123_multiseed,random:3407,1,urban_density,183,148,0.8087,headline_unsafe(leaky)
k123_multiseed,top,1,amenity_richness,158,123,0.7785,headline_safe
k123_multiseed,top,1,building_height,134,115,0.8582,headline_unsafe(leaky)
k123_multiseed,top,1,junction_type,228,216,0.9474,headline_unsafe(leaky)
k123_multiseed,top,1,land_use,233,201,0.8627,headline_unsafe(leaky)
k123_multiseed,top,1,road_surface,277,270,0.9747,headline_unsafe(leaky)
k123_multiseed,top,1,road_type,320,285,0.8906,headline_unsafe(leaky)
k123_multiseed,top,1,transit_density,130,119,0.9154,headline_safe
k123_multiseed,top,1,urban_density,183,160,0.8743,headline_unsafe(leaky)
k123_multiseed,bottom,2,amenity_richness,158,128,0.8101,headline_safe
k123_multiseed,bottom,2,building_height,134,110,0.8209,headline_unsafe(leaky)
k123_multiseed,bottom,2,junction_type,228,206,0.9035,headline_unsafe(leaky)
k123_multiseed,bottom,2,land_use,233,201,0.8627,headline_unsafe(leaky)
k123_multiseed,bottom,2,road_surface,277,266,0.9603,headline_unsafe(leaky)
k123_multiseed,bottom,2,road_type,320,283,0.8844,headline_unsafe(leaky)
k123_multiseed,bottom,2,transit_density,130,121,0.9308,headline_safe
k123_multiseed,bottom,2,urban_density,183,160,0.8743,headline_unsafe(leaky)
k123_multiseed,random:101,2,amenity_richness,158,130,0.8228,headline_safe
k123_multiseed,random:101,2,building_height,134,117,0.8731,headline_unsafe(leaky)
k123_multiseed,random:101,2,junction_type,228,213,0.9342,headline_unsafe(leaky)
k123_multiseed,random:101,2,land_use,233,205,0.8798,headline_unsafe(leaky)
k123_multiseed,random:101,2,road_surface,277,269,0.9711,headline_unsafe(leaky)
k123_multiseed,random:101,2,road_type,320,295,0.9219,headline_unsafe(leaky)
k123_multiseed,random:101,2,transit_density,130,120,0.9231,headline_safe
k123_multiseed,random:101,2,urban_density,183,166,0.9071,headline_unsafe(leaky)
k123_multiseed,random:202,2,amenity_richness,158,131,0.8291,headline_safe
k123_multiseed,random:202,2,building_height,134,115,0.8582,headline_unsafe(leaky)
k123_multiseed,random:202,2,junction_type,228,218,0.9561,headline_unsafe(leaky)
k123_multiseed,random:202,2,land_use,233,213,0.9142,headline_unsafe(leaky)
k123_multiseed,random:202,2,road_surface,277,268,0.9675,headline_unsafe(leaky)
k123_multiseed,random:202,2,road_type,320,298,0.9313,headline_unsafe(leaky)
k123_multiseed,random:202,2,transit_density,130,119,0.9154,headline_safe
k123_multiseed,random:202,2,urban_density,183,155,0.847,headline_unsafe(leaky)
k123_multiseed,random:3407,2,amenity_richness,158,131,0.8291,headline_safe
k123_multiseed,random:3407,2,building_height,134,114,0.8507,headline_unsafe(leaky)
k123_multiseed,random:3407,2,junction_type,228,213,0.9342,headline_unsafe(leaky)
k123_multiseed,random:3407,2,land_use,233,203,0.8712,headline_unsafe(leaky)
k123_multiseed,random:3407,2,road_surface,277,271,0.9783,headline_unsafe(leaky)
k123_multiseed,random:3407,2,road_type,320,291,0.9094,headline_unsafe(leaky)
k123_multiseed,random:3407,2,transit_density,130,121,0.9308,headline_safe
k123_multiseed,random:3407,2,urban_density,183,157,0.8579,headline_unsafe(leaky)
k123_multiseed,top,2,amenity_richness,158,135,0.8544,headline_safe
k123_multiseed,top,2,building_height,134,121,0.903,headline_unsafe(leaky)
k123_multiseed,top,2,junction_type,228,221,0.9693,headline_unsafe(leaky)
k123_multiseed,top,2,land_use,233,214,0.9185,headline_unsafe(leaky)
k123_multiseed,top,2,road_surface,277,271,0.9783,headline_unsafe(leaky)
k123_multiseed,top,2,road_type,320,295,0.9219,headline_unsafe(leaky)
k123_multiseed,top,2,transit_density,130,120,0.9231,headline_safe
k123_multiseed,top,2,urban_density,183,164,0.8962,headline_unsafe(leaky)
k123_multiseed,bottom,3,amenity_richness,158,133,0.8418,headline_safe
k123_multiseed,bottom,3,building_height,134,116,0.8657,headline_unsafe(leaky)
k123_multiseed,bottom,3,junction_type,228,215,0.943,headline_unsafe(leaky)
k123_multiseed,bottom,3,land_use,233,210,0.9013,headline_unsafe(leaky)
k123_multiseed,bottom,3,road_surface,277,267,0.9639,headline_unsafe(leaky)
k123_multiseed,bottom,3,road_type,320,292,0.9125,headline_unsafe(leaky)
k123_multiseed,bottom,3,transit_density,130,122,0.9385,headline_safe
k123_multiseed,bottom,3,urban_density,183,161,0.8798,headline_unsafe(leaky)
k123_multiseed,random:101,3,amenity_richness,158,136,0.8608,headline_safe
k123_multiseed,random:101,3,building_height,134,121,0.903,headline_unsafe(leaky)
k123_multiseed,random:101,3,junction_type,228,222,0.9737,headline_unsafe(leaky)
k123_multiseed,random:101,3,land_use,233,212,0.9099,headline_unsafe(leaky)
k123_multiseed,random:101,3,road_surface,277,268,0.9675,headline_unsafe(leaky)
k123_multiseed,random:101,3,road_type,320,295,0.9219,headline_unsafe(leaky)
k123_multiseed,random:101,3,transit_density,130,124,0.9538,headline_safe
k123_multiseed,random:101,3,urban_density,183,163,0.8907,headline_unsafe(leaky)
k123_multiseed,random:202,3,amenity_richness,158,135,0.8544,headline_safe
k123_multiseed,random:202,3,building_height,134,122,0.9104,headline_unsafe(leaky)
k123_multiseed,random:202,3,junction_type,228,220,0.9649,headline_unsafe(leaky)
k123_multiseed,random:202,3,land_use,233,215,0.9227,headline_unsafe(leaky)
k123_multiseed,random:202,3,road_surface,277,269,0.9711,headline_unsafe(leaky)
k123_multiseed,random:202,3,road_type,320,300,0.9375,headline_unsafe(leaky)
k123_multiseed,random:202,3,transit_density,130,123,0.9462,headline_safe
k123_multiseed,random:202,3,urban_density,183,161,0.8798,headline_unsafe(leaky)
k123_multiseed,random:3407,3,amenity_richness,158,141,0.8924,headline_safe
k123_multiseed,random:3407,3,building_height,134,118,0.8806,headline_unsafe(leaky)
k123_multiseed,random:3407,3,junction_type,228,222,0.9737,headline_unsafe(leaky)
k123_multiseed,random:3407,3,land_use,233,216,0.927,headline_unsafe(leaky)
k123_multiseed,random:3407,3,road_surface,277,274,0.9892,headline_unsafe(leaky)
k123_multiseed,random:3407,3,road_type,320,296,0.925,headline_unsafe(leaky)
k123_multiseed,random:3407,3,transit_density,130,128,0.9846,headline_safe
k123_multiseed,random:3407,3,urban_density,183,161,0.8798,headline_unsafe(leaky)
k123_multiseed,top,3,amenity_richness,158,140,0.8861,headline_safe
k123_multiseed,top,3,building_height,134,122,0.9104,headline_unsafe(leaky)
k123_multiseed,top,3,junction_type,228,224,0.9825,headline_unsafe(leaky)
k123_multiseed,top,3,land_use,233,220,0.9442,headline_unsafe(leaky)
k123_multiseed,top,3,road_surface,277,273,0.9856,headline_unsafe(leaky)
k123_multiseed,top,3,road_type,320,305,0.9531,headline_unsafe(leaky)
k123_multiseed,top,3,transit_density,130,126,0.9692,headline_safe
k123_multiseed,top,3,urban_density,183,167,0.9126,headline_unsafe(leaky)
k123_multiseed,zero,0,OVERALL,1663,1115,0.6705,
k123_multiseed,bottom,1,OVERALL,1663,1383,0.8316,
k123_multiseed,fwd,1,OVERALL,1663,1481,0.8906,
k123_multiseed,random:101,1,OVERALL,1663,1416,0.8515,
k123_multiseed,random:202,1,OVERALL,1663,1403,0.8437,
k123_multiseed,random:3407,1,OVERALL,1663,1428,0.8587,
k123_multiseed,top,1,OVERALL,1663,1489,0.8954,
k123_multiseed,bottom,2,OVERALL,1663,1475,0.887,
k123_multiseed,random:101,2,OVERALL,1663,1515,0.911,
k123_multiseed,random:202,2,OVERALL,1663,1517,0.9122,
k123_multiseed,random:3407,2,OVERALL,1663,1501,0.9026,
k123_multiseed,top,2,OVERALL,1663,1541,0.9266,
k123_multiseed,bottom,3,OVERALL,1663,1516,0.9116,
k123_multiseed,random:101,3,OVERALL,1663,1541,0.9266,
k123_multiseed,random:202,3,OVERALL,1663,1545,0.929,
k123_multiseed,random:3407,3,OVERALL,1663,1556,0.9357,
k123_multiseed,top,3,OVERALL,1663,1577,0.9483,
k1_singleseed,zero,0,amenity_richness,158,81,0.5127,headline_safe
k1_singleseed,zero,0,building_height,134,69,0.5149,headline_unsafe(leaky)
k1_singleseed,zero,0,junction_type,228,112,0.4912,headline_unsafe(leaky)
k1_singleseed,zero,0,land_use,233,172,0.7382,headline_unsafe(leaky)
k1_singleseed,zero,0,road_surface,277,267,0.9639,headline_unsafe(leaky)
k1_singleseed,zero,0,road_type,320,190,0.5938,headline_unsafe(leaky)
k1_singleseed,zero,0,transit_density,130,110,0.8462,headline_safe
k1_singleseed,zero,0,urban_density,183,114,0.623,headline_unsafe(leaky)
k1_singleseed,bottom,1,amenity_richness,158,119,0.7532,headline_safe
k1_singleseed,bottom,1,building_height,134,102,0.7612,headline_unsafe(leaky)
k1_singleseed,bottom,1,junction_type,228,203,0.8904,headline_unsafe(leaky)
k1_singleseed,bottom,1,land_use,233,183,0.7854,headline_unsafe(leaky)
k1_singleseed,bottom,1,road_surface,277,248,0.8953,headline_unsafe(leaky)
k1_singleseed,bottom,1,road_type,320,262,0.8187,headline_unsafe(leaky)
k1_singleseed,bottom,1,transit_density,130,111,0.8538,headline_safe
k1_singleseed,bottom,1,urban_density,183,155,0.847,headline_unsafe(leaky)
k1_singleseed,fwd,1,amenity_richness,158,122,0.7722,headline_safe
k1_singleseed,fwd,1,building_height,134,115,0.8582,headline_unsafe(leaky)
k1_singleseed,fwd,1,junction_type,228,208,0.9123,headline_unsafe(leaky)
k1_singleseed,fwd,1,land_use,233,203,0.8712,headline_unsafe(leaky)
k1_singleseed,fwd,1,road_surface,277,270,0.9747,headline_unsafe(leaky)
k1_singleseed,fwd,1,road_type,320,286,0.8938,headline_unsafe(leaky)
k1_singleseed,fwd,1,transit_density,130,118,0.9077,headline_safe
k1_singleseed,fwd,1,urban_density,183,159,0.8689,headline_unsafe(leaky)
k1_singleseed,random,1,amenity_richness,158,115,0.7278,headline_safe
k1_singleseed,random,1,building_height,134,103,0.7687,headline_unsafe(leaky)
k1_singleseed,random,1,junction_type,228,203,0.8904,headline_unsafe(leaky)
k1_singleseed,random,1,land_use,233,186,0.7983,headline_unsafe(leaky)
k1_singleseed,random,1,road_surface,277,241,0.87,headline_unsafe(leaky)
k1_singleseed,random,1,road_type,320,263,0.8219,headline_unsafe(leaky)
k1_singleseed,random,1,transit_density,130,109,0.8385,headline_safe
k1_singleseed,random,1,urban_density,183,146,0.7978,headline_unsafe(leaky)
k1_singleseed,top,1,amenity_richness,158,123,0.7785,headline_safe
k1_singleseed,top,1,building_height,134,115,0.8582,headline_unsafe(leaky)
k1_singleseed,top,1,junction_type,228,216,0.9474,headline_unsafe(leaky)
k1_singleseed,top,1,land_use,233,201,0.8627,headline_unsafe(leaky)
k1_singleseed,top,1,road_surface,277,270,0.9747,headline_unsafe(leaky)
k1_singleseed,top,1,road_type,320,285,0.8906,headline_unsafe(leaky)
k1_singleseed,top,1,transit_density,130,119,0.9154,headline_safe
k1_singleseed,top,1,urban_density,183,160,0.8743,headline_unsafe(leaky)
k1_singleseed,zero,0,OVERALL,1663,1115,0.6705,
k1_singleseed,bottom,1,OVERALL,1663,1383,0.8316,
k1_singleseed,fwd,1,OVERALL,1663,1481,0.8906,
k1_singleseed,random,1,OVERALL,1663,1366,0.8214,
k1_singleseed,top,1,OVERALL,1663,1489,0.8954,
