model,model_class,training,suite,split,topic,image_mode,n,accuracy,fusion_full_minus_best_single,trust_flag
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,OVERALL_8urban_noleak,sat_only,2932,0.4482,,
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,OVERALL_8urban_noleak,sv_only,2932,0.5283,,
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,OVERALL_8urban_noleak,full,2932,0.5235,-0.0048,
gemma-4-12b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,OVERALL_all,full,5240,0.5031,,
gemma-4-12b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,OVERALL_all,blind,5240,0.2351,,
gemma-4-12b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,OVERALL_all,sat_only,2105,0.3359,,sat_only/sv_only overall NOT cross-comparable
gemma-4-12b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,OVERALL_all,sv_only,1684,0.3771,,sat_only/sv_only overall NOT cross-comparable
qwen2.5-vl-7b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,OVERALL_all,full,5240,0.4718,,
qwen2.5-vl-7b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,OVERALL_all,blind,5240,0.3834,,
qwen2.5-vl-7b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,OVERALL_all,sat_only,2105,0.3558,,sat_only/sv_only overall NOT cross-comparable
qwen2.5-vl-7b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,OVERALL_all,sv_only,1684,0.3729,,sat_only/sv_only overall NOT cross-comparable
qwen3.5-4b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,OVERALL_all,full,5240,0.4899,,
qwen3.5-4b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,OVERALL_all,blind,5240,0.3885,,
qwen3.5-4b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,OVERALL_all,sat_only,2105,0.3378,,sat_only/sv_only overall NOT cross-comparable
qwen3.5-4b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,OVERALL_all,sv_only,1684,0.37,,sat_only/sv_only overall NOT cross-comparable
qwen3.5-9b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,OVERALL_all,full,5240,0.5113,,
qwen3.5-9b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,OVERALL_all,blind,5240,0.3811,,
qwen3.5-9b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,OVERALL_all,sat_only,2105,0.3458,,sat_only/sv_only overall NOT cross-comparable
qwen3.5-9b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,OVERALL_all,sv_only,1684,0.3599,,sat_only/sv_only overall NOT cross-comparable
gemma-4-12b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,amenity_richness,full,421,0.3563,,
gemma-4-12b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,building_height,full,190,0.6158,,
gemma-4-12b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,camera_direction,full,421,0.2518,,
gemma-4-12b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,green_space,full,203,0.5862,,LABEL_LEAK
gemma-4-12b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,junction_type,full,334,0.6647,,
gemma-4-12b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,land_use,full,421,0.4727,,
gemma-4-12b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,mismatch_binary_easy,full,421,0.7981,,
gemma-4-12b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,mismatch_binary_hard,full,421,0.6461,,
gemma-4-12b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,mismatch_mcq_easy,full,421,0.4323,,
gemma-4-12b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,mismatch_mcq_hard,full,421,0.3468,,
gemma-4-12b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,road_surface,full,303,0.7822,,blind_heavy
gemma-4-12b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,road_type,full,421,0.6532,,
gemma-4-12b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,transit_density,full,421,0.2803,,
gemma-4-12b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,urban_density,full,421,0.3729,,blind_heavy
gemma-4-12b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,amenity_richness,blind,421,0.2423,,
gemma-4-12b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,building_height,blind,190,0.3263,,
gemma-4-12b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,camera_direction,blind,421,0.0594,,
gemma-4-12b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,green_space,blind,203,0.7635,,LABEL_LEAK
gemma-4-12b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,junction_type,blind,334,0.0749,,
gemma-4-12b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,land_use,blind,421,0.1781,,
gemma-4-12b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,mismatch_binary_easy,blind,421,0.4656,,
gemma-4-12b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,mismatch_binary_hard,blind,421,0.5582,,
gemma-4-12b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,mismatch_mcq_easy,blind,421,0.0071,,
gemma-4-12b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,mismatch_mcq_hard,blind,421,0.0071,,
gemma-4-12b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,road_surface,blind,303,0.264,,blind_heavy
gemma-4-12b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,road_type,blind,421,0.1496,,
gemma-4-12b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,transit_density,blind,421,0.2684,,
gemma-4-12b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,urban_density,blind,421,0.2257,,blind_heavy
gemma-4-12b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,camera_direction,sat_only,421,0.2233,,
gemma-4-12b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,mismatch_binary_easy,sat_only,421,0.4394,,
gemma-4-12b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,mismatch_binary_hard,sat_only,421,0.5463,,
gemma-4-12b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,mismatch_mcq_easy,sat_only,421,0.2185,,
gemma-4-12b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,mismatch_mcq_hard,sat_only,421,0.2518,,
gemma-4-12b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,mismatch_binary_easy,sv_only,421,0.5202,,
gemma-4-12b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,mismatch_binary_hard,sv_only,421,0.4751,,
gemma-4-12b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,mismatch_mcq_easy,sv_only,421,0.2732,,
gemma-4-12b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,mismatch_mcq_hard,sv_only,421,0.2399,,
qwen2.5-vl-7b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,amenity_richness,full,421,0.3183,,
qwen2.5-vl-7b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,building_height,full,190,0.5789,,
qwen2.5-vl-7b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,camera_direction,full,421,0.247,,
qwen2.5-vl-7b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,green_space,full,203,0.8177,,LABEL_LEAK
qwen2.5-vl-7b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,junction_type,full,334,0.5749,,
qwen2.5-vl-7b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,land_use,full,421,0.5558,,
qwen2.5-vl-7b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,mismatch_binary_easy,full,421,0.5914,,
qwen2.5-vl-7b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,mismatch_binary_hard,full,421,0.4561,,
qwen2.5-vl-7b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,mismatch_mcq_easy,full,421,0.3967,,
qwen2.5-vl-7b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,mismatch_mcq_hard,full,421,0.3373,,
qwen2.5-vl-7b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,road_surface,full,303,0.9076,,blind_heavy
qwen2.5-vl-7b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,road_type,full,421,0.5059,,
qwen2.5-vl-7b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,transit_density,full,421,0.2803,,
qwen2.5-vl-7b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,urban_density,full,421,0.4181,,blind_heavy
qwen2.5-vl-7b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,amenity_richness,blind,421,0.1425,,
qwen2.5-vl-7b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,building_height,blind,190,0.4474,,
qwen2.5-vl-7b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,camera_direction,blind,421,0.2542,,
qwen2.5-vl-7b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,green_space,blind,203,0.7882,,LABEL_LEAK
qwen2.5-vl-7b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,junction_type,blind,334,0.4701,,
qwen2.5-vl-7b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,land_use,blind,421,0.5439,,
qwen2.5-vl-7b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,mismatch_binary_easy,blind,421,0.4751,,
qwen2.5-vl-7b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,mismatch_binary_hard,blind,421,0.5226,,
qwen2.5-vl-7b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,mismatch_mcq_easy,blind,421,0.2494,,
qwen2.5-vl-7b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,mismatch_mcq_hard,blind,421,0.2637,,
qwen2.5-vl-7b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,road_surface,blind,303,0.8284,,blind_heavy
qwen2.5-vl-7b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,road_type,blind,421,0.2542,,
qwen2.5-vl-7b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,transit_density,blind,421,0.266,,
qwen2.5-vl-7b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,urban_density,blind,421,0.2494,,blind_heavy
qwen2.5-vl-7b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,camera_direction,sat_only,421,0.2922,,
qwen2.5-vl-7b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,mismatch_binary_easy,sat_only,421,0.5321,,
qwen2.5-vl-7b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,mismatch_binary_hard,sat_only,421,0.4466,,
qwen2.5-vl-7b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,mismatch_mcq_easy,sat_only,421,0.2494,,
qwen2.5-vl-7b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,mismatch_mcq_hard,sat_only,421,0.2589,,
qwen2.5-vl-7b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,mismatch_binary_easy,sv_only,421,0.5368,,
qwen2.5-vl-7b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,mismatch_binary_hard,sv_only,421,0.4418,,
qwen2.5-vl-7b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,mismatch_mcq_easy,sv_only,421,0.2732,,
qwen2.5-vl-7b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,mismatch_mcq_hard,sv_only,421,0.2399,,
qwen3.5-4b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,amenity_richness,full,421,0.3539,,
qwen3.5-4b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,building_height,full,190,0.6158,,
qwen3.5-4b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,camera_direction,full,421,0.2138,,
qwen3.5-4b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,green_space,full,203,0.4138,,LABEL_LEAK
qwen3.5-4b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,junction_type,full,334,0.5,,
qwen3.5-4b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,land_use,full,421,0.5558,,
qwen3.5-4b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,mismatch_binary_easy,full,421,0.7435,,
qwen3.5-4b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,mismatch_binary_hard,full,421,0.5796,,
qwen3.5-4b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,mismatch_mcq_easy,full,421,0.4584,,
qwen3.5-4b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,mismatch_mcq_hard,full,421,0.3848,,
qwen3.5-4b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,road_surface,full,303,0.9142,,blind_heavy
qwen3.5-4b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,road_type,full,421,0.5701,,
qwen3.5-4b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,transit_density,full,421,0.342,,
qwen3.5-4b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,urban_density,full,421,0.3634,,blind_heavy
qwen3.5-4b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,amenity_richness,blind,421,0.19,,
qwen3.5-4b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,building_height,blind,190,0.4632,,
qwen3.5-4b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,camera_direction,blind,421,0.2518,,
qwen3.5-4b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,green_space,blind,203,0.5369,,LABEL_LEAK
qwen3.5-4b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,junction_type,blind,334,0.4701,,
qwen3.5-4b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,land_use,blind,421,0.3824,,
qwen3.5-4b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,mismatch_binary_easy,blind,421,0.5059,,
qwen3.5-4b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,mismatch_binary_hard,blind,421,0.4656,,
qwen3.5-4b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,mismatch_mcq_easy,blind,421,0.2613,,
qwen3.5-4b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,mismatch_mcq_hard,blind,421,0.2494,,
qwen3.5-4b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,road_surface,blind,303,0.8746,,blind_heavy
qwen3.5-4b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,road_type,blind,421,0.3112,,
qwen3.5-4b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,transit_density,blind,421,0.2708,,
qwen3.5-4b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,urban_density,blind,421,0.4774,,blind_heavy
qwen3.5-4b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,camera_direction,sat_only,421,0.2067,,
qwen3.5-4b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,mismatch_binary_easy,sat_only,421,0.5107,,
qwen3.5-4b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,mismatch_binary_hard,sat_only,421,0.4703,,
qwen3.5-4b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,mismatch_mcq_easy,sat_only,421,0.2589,,
qwen3.5-4b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,mismatch_mcq_hard,sat_only,421,0.2423,,
qwen3.5-4b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,mismatch_binary_easy,sv_only,421,0.5107,,
qwen3.5-4b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,mismatch_binary_hard,sv_only,421,0.4632,,
qwen3.5-4b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,mismatch_mcq_easy,sv_only,421,0.2518,,
qwen3.5-4b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,mismatch_mcq_hard,sv_only,421,0.2542,,
qwen3.5-9b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,amenity_richness,full,421,0.3634,,
qwen3.5-9b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,building_height,full,190,0.5684,,
qwen3.5-9b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,camera_direction,full,421,0.2352,,
qwen3.5-9b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,green_space,full,203,0.3695,,LABEL_LEAK
qwen3.5-9b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,junction_type,full,334,0.5569,,
qwen3.5-9b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,land_use,full,421,0.5321,,
qwen3.5-9b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,mismatch_binary_easy,full,421,0.8717,,
qwen3.5-9b-awq,zeroshot,none (AWQ raw),benchmark_modes_remote(BlockA),benchmark,mismatch_binary_hard,full,421,0.7292,,
